antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'penny'}),frozenset({'trump'}),0.11133851821530905,0.15759312320916904,0.03479328694228408,0.3125,1.9829545454545456,0.017247102123252565,1.225319093513936
frozenset({'fund'}),frozenset({'trump'}),0.0057306590257879654,0.15759312320916904,0.003274662300450266,0.5714285714285714,3.625974025974026,0.0023715498465295267,1.965616045845272
frozenset({'away'}),frozenset({'penny'}),0.02660663119115841,0.11133851821530905,0.010233319688907082,0.38461538461538464,3.4544683257918556,0.007270976797382282,1.4440749079001227
frozenset({'press'}),frozenset({'conference'}),0.019647973802701595,0.02374130167826443,0.015554645927138764,0.7916666666666667,33.3455459770115,0.01508817745372219,4.686041751944333
frozenset({'conference'}),frozenset({'press'}),0.02374130167826443,0.019647973802701595,0.015554645927138764,0.6551724137931034,33.3455459770115,0.01508817745372219,2.843020875972165
frozenset({'press'}),frozenset({'trump'}),0.019647973802701595,0.15759312320916904,0.006139991813344249,0.3125,1.9829545454545456,0.0030436062570445704,1.225319093513936
frozenset({'cut'}),frozenset({'trump'}),0.012279983626688497,0.15759312320916904,0.005321326238231682,0.43333333333333335,2.74969696969697,0.003386085265544383,1.4866003708073487
frozenset({'house'}),frozenset({'white'}),0.012689316414244782,0.007777322963569382,0.0057306590257879654,0.45161290322580644,58.067911714770794,0.005631970113847462,1.8093472345958443
frozenset({'white'}),frozenset({'house'}),0.007777322963569382,0.012689316414244782,0.0057306590257879654,0.7368421052631579,58.067911714770794,0.005631970113847462,3.7517805976258694
frozenset({'prevent'}),frozenset({'spread'}),0.015554645927138764,0.06549324600900532,0.005321326238231682,0.34210526315789475,5.223519736842106,0.00430260198594261,1.4204502660663119
frozenset({'president'}),frozenset({'trump'}),0.04297994269340974,0.15759312320916904,0.01882930822758903,0.43809523809523815,2.7799134199134206,0.012055964823183486,1.4991986790345295
frozenset({'conference'}),frozenset({'trump'}),0.02374130167826443,0.15759312320916904,0.008595988538681949,0.3620689655172414,2.2974921630094047,0.004854522658153171,1.3205296987531943
frozenset({'face'}),frozenset({'mask'}),0.014735980352026197,0.015963978714695046,0.0057306590257879654,0.3888888888888889,24.360398860398863,0.005495414149108055,1.6102407621032262
frozenset({'mask'}),frozenset({'face'}),0.015963978714695046,0.014735980352026197,0.0057306590257879654,0.358974358974359,24.36039886039886,0.005495414149108055,1.5370118706508393
