antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'medium'}),frozenset({'china'}),0.01037037037037037,0.1288888888888889,0.0044444444444444444,0.4285714285714286,3.32512315270936,0.0031078189300411526,1.5244444444444447
frozenset({'world'}),frozenset({'outbreak'}),0.05333333333333334,0.08148148148148149,0.016296296296296295,0.3055555555555555,3.749999999999999,0.011950617283950615,1.3226666666666667
frozenset({'threat'}),frozenset({'world'}),0.022222222222222223,0.05333333333333334,0.008888888888888889,0.39999999999999997,7.499999999999999,0.007703703703703704,1.5777777777777775
frozenset({'threat'}),frozenset({'outbreak'}),0.022222222222222223,0.08148148148148149,0.007407407407407408,0.3333333333333333,4.09090909090909,0.005596707818930041,1.3777777777777775
frozenset({'terrorism'}),frozenset({'threat'}),0.0044444444444444444,0.022222222222222223,0.0044444444444444444,1.0,45.0,0.004345679012345679,inf
frozenset({'prevent'}),frozenset({'hand'}),0.01037037037037037,0.01037037037037037,0.0044444444444444444,0.4285714285714286,41.3265306122449,0.004336899862825789,1.731851851851852
frozenset({'hand'}),frozenset({'prevent'}),0.01037037037037037,0.01037037037037037,0.0044444444444444444,0.4285714285714286,41.3265306122449,0.004336899862825789,1.731851851851852
frozenset({'mask'}),frozenset({'prevent'}),0.014814814814814815,0.01037037037037037,0.0044444444444444444,0.3,28.928571428571427,0.004290809327846365,1.4137566137566138
frozenset({'prevent'}),frozenset({'mask'}),0.01037037037037037,0.014814814814814815,0.0044444444444444444,0.4285714285714286,28.92857142857143,0.004290809327846365,1.724074074074074
frozenset({'wash'}),frozenset({'hand'}),0.007407407407407408,0.01037037037037037,0.005925925925925926,0.7999999999999999,77.14285714285714,0.005849108367626886,4.948148148148147
frozenset({'hand'}),frozenset({'wash'}),0.01037037037037037,0.007407407407407408,0.005925925925925926,0.5714285714285714,77.14285714285714,0.005849108367626886,2.316049382716049
frozenset({'prevent'}),frozenset({'wash'}),0.01037037037037037,0.007407407407407408,0.0044444444444444444,0.4285714285714286,57.85714285714286,0.004367626886145405,1.7370370370370372
frozenset({'wash'}),frozenset({'prevent'}),0.007407407407407408,0.01037037037037037,0.0044444444444444444,0.6,57.857142857142854,0.004367626886145405,2.474074074074074
frozenset({'still'}),frozenset({'news'}),0.014814814814814815,0.04888888888888889,0.0044444444444444444,0.3,6.136363636363636,0.003720164609053498,1.3587301587301588
frozenset({'still'}),frozenset({'name'}),0.014814814814814815,0.035555555555555556,0.0044444444444444444,0.3,8.4375,0.003917695473251029,1.3777777777777778
frozenset({'still'}),frozenset({'disease'}),0.014814814814814815,0.04148148148148148,0.0044444444444444444,0.3,7.232142857142857,0.0038299039780521262,1.3693121693121695
frozenset({'avoid'}),frozenset({'health'}),0.007407407407407408,0.05037037037037037,0.0044444444444444444,0.6,11.911764705882353,0.0040713305898491085,2.374074074074074
frozenset({'chinatown'}),frozenset({'business'}),0.005925925925925926,0.016296296296296295,0.0044444444444444444,0.75,46.02272727272727,0.0043478737997256515,3.934814814814815
frozenset({'disease'}),frozenset({'name'}),0.04148148148148148,0.035555555555555556,0.016296296296296295,0.39285714285714285,11.049107142857142,0.014821399176954731,1.5884967320261436
frozenset({'name'}),frozenset({'disease'}),0.035555555555555556,0.04148148148148148,0.016296296296296295,0.4583333333333333,11.049107142857142,0.014821399176954731,1.7695726495726494
frozenset({'live'}),frozenset({'china'}),0.017777777777777778,0.1288888888888889,0.005925925925925926,0.3333333333333333,2.586206896551724,0.0036345679012345674,1.3066666666666666
frozenset({'economy'}),frozenset({'outbreak'}),0.01037037037037037,0.08148148148148149,0.0044444444444444444,0.4285714285714286,5.259740259740259,0.0035994513031550068,1.6074074074074074
frozenset({'economy'}),frozenset({'china'}),0.01037037037037037,0.1288888888888889,0.0044444444444444444,0.4285714285714286,3.32512315270936,0.0031078189300411526,1.5244444444444447
frozenset({'fight'}),frozenset({'china'}),0.01037037037037037,0.1288888888888889,0.005925925925925926,0.5714285714285714,4.433497536945812,0.004589300411522634,2.0325925925925925
frozenset({'alert'}),frozenset({'lockdown'}),0.008888888888888889,0.054814814814814816,0.0044444444444444444,0.5,9.121621621621621,0.003957201646090535,1.8903703703703703
frozenset({'alert'}),frozenset({'area'}),0.008888888888888889,0.007407407407407408,0.0044444444444444444,0.5,67.5,0.004378600823045267,1.9851851851851852
frozenset({'area'}),frozenset({'alert'}),0.007407407407407408,0.008888888888888889,0.0044444444444444444,0.6,67.5,0.004378600823045267,2.477777777777778
frozenset({'area'}),frozenset({'lockdown'}),0.007407407407407408,0.054814814814814816,0.0044444444444444444,0.6,10.945945945945946,0.0040384087791495195,2.3629629629629627
frozenset({'problem'}),frozenset({'big'}),0.011851851851851851,0.02074074074074074,0.0044444444444444444,0.375,18.080357142857142,0.004198628257887517,1.5668148148148149
frozenset({'truth'}),frozenset({'china'}),0.011851851851851851,0.1288888888888889,0.0044444444444444444,0.375,2.9094827586206895,0.0029168724279835393,1.3937777777777778
frozenset({'strain'}),frozenset({'take'}),0.008888888888888889,0.025185185185185185,0.0044444444444444444,0.5,19.852941176470587,0.004220576131687243,1.9496296296296296
frozenset({'strain'}),frozenset({'health'}),0.008888888888888889,0.05037037037037037,0.0044444444444444444,0.5,9.926470588235293,0.003996707818930041,1.8992592592592592
frozenset({'ship'}),frozenset({'cruise'}),0.02962962962962963,0.03259259259259259,0.023703703703703703,0.7999999999999999,24.545454545454547,0.022737997256515773,4.837037037037035
