,itemsets,counts
184,"frozenset({'chief', 'minister'})",5
7982,"frozenset({'go', 'take'})",5
778,"frozenset({'positive', 'say'})",5
1767,"frozenset({'healthcare', 'worker'})",5
143,"frozenset({'july', 'day'})",5
222,"frozenset({'positive', 'minister'})",5
224,"frozenset({'make', 'one'})",5
6486,"frozenset({'today', 'august'})",5
9509,"frozenset({'blog', 'post'})",5
310,"frozenset({'kong', 'hong'})",5
4086,"frozenset({'russian', 'vaccine'})",4
13066,"frozenset({'dead', 'trump'})",4
70,"frozenset({'back', 'come'})",4
249,"frozenset({'spike', 'high'})",4
251,"frozenset({'spike', 'record'})",4
255,"frozenset({'report', 'single'})",4
52,"frozenset({'would', 'go'})",4
1513,"frozenset({'keep', 'need'})",4
1033,"frozenset({'news', 'today'})",4
728,"frozenset({'student', 'college'})",4
5566,"frozenset({'read', 'article'})",4
6252,"frozenset({'day', 'average'})",4
5776,"frozenset({'india', 'august'})",4
397,"frozenset({'report', 'infection'})",4
2611,"frozenset({'slow', 'help'})",4
258,"frozenset({'single', 'tally'})",4
9452,"frozenset({'news', 'protest'})",4
2661,"frozenset({'wear', 'protect'})",4
1421,"frozenset({'wear', 'say'})",4
395,"frozenset({'positive', 'district'})",4
420,"frozenset({'day', 'state'})",4
248,"frozenset({'rise', 'report'})",4
416,"frozenset({'social', 'wear'})",4
8364,"frozenset({'cover', 'wear'})",4
5710,"frozenset({'whitehouse', 'realdonaldtrump'})",4
1614,"frozenset({'need', 'health'})",4
1315,"frozenset({'one', 'take'})",4
1605,"frozenset({'odisha', 'total'})",4
225,"frozenset({'report', 'recovery'})",4
10367,"frozenset({'vaccine', 'one'})",4
2313,"frozenset({'conference', 'press'})",4
5858,"frozenset({'first', 'world'})",4
5691,"frozenset({'world', 'say'})",4
13,"frozenset({'mask', 'distancing'})",4
11018,"frozenset({'keep', 'one'})",4
774,"frozenset({'number', 'take'})",4
1780,"frozenset({'one', 'die'})",4
9632,"frozenset({'well', 'say'})",4
9518,"frozenset({'like', 'see'})",4
1025,"frozenset({'one', 'time'})",4
10238,"frozenset({'world', 'health'})",4
1779,"frozenset({'die', 'know'})",4
426,"frozenset({'plasma', 'recover'})",4
9766,"frozenset({'virus', 'trump'})",4
421,"frozenset({'positive', 'july'})",4
1820,"frozenset({'official', 'health'})",4
7511,"frozenset({'next', 'week'})",4
48,"frozenset({'number', 'positive'})",4
9339,"frozenset({'day', 'work'})",4
9557,"frozenset({'number', 'july'})",4
270,"frozenset({'mask', 'wearamask'})",4
10785,"frozenset({'day', 'week'})",4
88,"frozenset({'year', 'first'})",4
13757,"frozenset({'share', 'please'})",4
350,"frozenset({'positive', 'break'})",4
5601,"frozenset({'india', 'million'})",4
10892,"frozenset({'today', 'high'})",4
9891,"frozenset({'say', 'school'})",4
5763,"frozenset({'admit', 'hospital'})",4
4335,"frozenset({'recovery', 'total'})",4
9381,"frozenset({'home', 'nursing'})",4
13138,"frozenset({'mask', 'safe'})",4
3095,"frozenset({'face', 'covering'})",4
332,"frozenset({'seriously', 'take'})",4
307,"frozenset({'odisha', 'tally'})",4
329,"frozenset({'rise', 'tally'})",4
1754,"frozenset({'year', 'end'})",4
7388,"frozenset({'number', 'august'})",4
1487,"frozenset({'data', 'use'})",4
5122,"frozenset({'india', 'infection'})",4
1060,"frozenset({'like', 'say'})",4
1547,"frozenset({'study', 'show'})",4
8446,"frozenset({'wish', 'positive'})",4
1613,"frozenset({'today', 'health'})",4
10811,"frozenset({'school', 'send'})",4
82,"frozenset({'public', 'wear'})",4
5773,"frozenset({'daily', 'report'})",4
1834,"frozenset({'update', 'daily'})",4
369,"frozenset({'need', 'go'})",4
373,"frozenset({'million', 'global'})",4
134,"frozenset({'single', 'last'})",4
142,"frozenset({'soon', 'well'})",4
273,"frozenset({'care', 'age'})",4
128,"frozenset({'march', 'since'})",4
9341,"frozenset({'time', 'work'})",4
116,"frozenset({'india', 'july'})",4
372,"frozenset({'modi', 'pm'})",4
5232,"frozenset({'plasma', 'patient'})",3
4040,"frozenset({'odisha', 'day'})",3
1815,"frozenset({'expert', 'health'})",3
8251,"frozenset({'positive', 'well'})",3
1617,"frozenset({'positive', 'state'})",3
6464,"frozenset({'find', 'study'})",3
1537,"frozenset({'day', 'lakh'})",3
7410,"frozenset({'take', 'tally'})",3
13550,"frozenset({'even', 'still'})",3
6439,"frozenset({'one', 'know'})",3
1821,"frozenset({'question', 'answer'})",3
8253,"frozenset({'one', 'positive'})",3
1792,"frozenset({'safety', 'health'})",3
6442,"frozenset({'wear', 'go'})",3
6444,"frozenset({'class', 'school'})",3
5121,"frozenset({'infection', 'day'})",3
1615,"frozenset({'today', 'state'})",3
1556,"frozenset({'immanuel', 'stella'})",3
6459,"frozenset({'day', 'school'})",3
1340,"frozenset({'help', 'support'})",3
12054,"frozenset({'first', 'become'})",3
9036,"frozenset({'mask', 'think'})",3
10762,"frozenset({'stop', 'go'})",3
8289,"frozenset({'right', 'go'})",3
6343,"frozenset({'wish', 'recovery'})",3
6488,"frozenset({'close', 'school'})",3
1453,"frozenset({'together', 'work'})",3
1492,"frozenset({'chain', 'supply'})",3
13367,"frozenset({'confirm', 'today'})",3
1517,"frozenset({'vaccine', 'moderna'})",3
1447,"frozenset({'positive', 'home'})",3
8135,"frozenset({'one', 'way'})",3
6380,"frozenset({'county', 'report'})",3
1458,"frozenset({'due', 'go'})",3
10161,"frozenset({'mask', 'good'})",3
6476,"frozenset({'app', 'download'})",3
8091,"frozenset({'today', 'go'})",3
1405,"frozenset({'like', 'many'})",3
13566,"frozenset({'order', 'trump'})",3
1677,"frozenset({'et', 'pm'})",3
6434,"frozenset({'think', 'trump'})",3
1670,"frozenset({'virus', 'say'})",3
8071,"frozenset({'month', 'six'})",3
1384,"frozenset({'good', 'day'})",3
13311,"frozenset({'vaccine', 'race'})",3
1802,"frozenset({'watch', 'realdonaldtrump'})",3
11988,"frozenset({'plasma', 'donate'})",3
8063,"frozenset({'expert', 'say'})",3
4517,"frozenset({'child', 'week'})",3
1773,"frozenset({'kill', 'realdonaldtrump'})",3
10163,"frozenset({'good', 'time'})",3
5600,"frozenset({'th', 'aug'})",3
5774,"frozenset({'daily', 'august'})",3
8398,"frozenset({'face', 'help'})",3
9564,"frozenset({'go', 'kid'})",3
6001,"frozenset({'report', 'country'})",3
4325,"frozenset({'say', 'minister'})",3
3715,"frozenset({'lockdown', 'level'})",3
9888,"frozenset({'need', 'say'})",3
89,"frozenset({'year', 'die'})",3
7984,"frozenset({'take', 'trump'})",3
936,"frozenset({'due', 'die'})",3
309,"frozenset({'rise', 'odisha'})",3
1147,"frozenset({'dr', 'say'})",3
1149,"frozenset({'fauci', 'say'})",3
317,"frozenset({'growth', 'rate'})",3
320,"frozenset({'tally', 'mark'})",3
321,"frozenset({'day', 'mark'})",3
1151,"frozenset({'family', 'child'})",3
4193,"frozenset({'total', 'district'})",3
7124,"frozenset({'patient', 'care'})",3
336,"frozenset({'lakh', 'mark'})",3
6202,"frozenset({'ask', 'question'})",3
5772,"frozenset({'daily', 'day'})",3
