"('united', 'state')"
"('plasma', 'blood')"
"('cov', 'sars')"
"('single', 'day')"
"('mental', 'health')"
"('coronainfoch', 'corona')"
"('ministry', 'health')"
"('india', 'lakh')"
"('plasma', 'need')"
"('plasma', 'type')"
"('component', 'type')"
"('blood', 'component')"
"('plasma', 'component')"
"('need', 'component')"
"('trace', 'contact')"
"('blood', 'type')"
"('need', 'type')"
"('need', 'blood')"
"('donald', 'trump')"
"('wave', 'second')"
"('trial', 'clinical')"
"('coronaviruspandemic', 'coronavirusupdate')"
"('distance', 'social')"
"('gmt', 'coronaviruspandemic')"
"('positive', 'component')"
"('vaccine', 'russia')"
"('total', 'confirmed')"
"('gmt', 'coronavirusupdate')"
"('biden', 'trump')"
"('india', 'single')"
"('india', 'tally')"
"('prime', 'minister')"
"('hospital', 'component')"
"('india', 'spike')"
"('spread', 'slow')"
"('bring', 'confirmed')"
"('mask', 'mandate')"
"('plasma', 'hospital')"
"('report', 'confirmed')"
"('phase', 'trial')"
"('plasma', 'positive')"
"('kong', 'hong')"
"('potus', 'realdonaldtrump')"
"('india', 'mohfw')"
"('spike', 'day')"
"('rate', 'positivity')"
"('india', 'cross')"
"('positive', 'type')"
"('health', 'department')"
"('spike', 'single')"
"('cross', 'mark')"
"('india', 'mark')"
"('role', 'play')"
"('seriously', 'take')"
"('africa', 'south')"
"('positive', 'blood')"
"('vaccine', 'phase')"
"('house', 'white')"
"('conference', 'press')"
"('face', 'covering')"
"('south', 'korea')"
"('home', 'nursing')"
"('modi', 'pm')"
"('dead', 'american')"
"('blog', 'post')"
"('admit', 'hospital')"
"('pm', 'narendramodi')"
"('chief', 'minister')"
"('hospital', 'type')"
"('spread', 'prevent')"
"('day', 'average')"
"('whitehouse', 'realdonaldtrump')"
"('russian', 'vaccine')"
"('make', 'sure')"
"('parent', 'child')"
"('report', 'tally')"
"('report', 'bring')"
"('slow', 'help')"
"('school', 'send')"
"('cross', 'lakh')"
"('wish', 'positive')"
"('dr', 'fauci')"
"('action', 'take')"
"('small', 'business')"
"('patient', 'recover')"
"('face', 'cover')"
"('cover', 'wear')"
"('next', 'week')"
"('american', 'die')"
"('open', 'school')"
"('year', 'school')"
"('every', 'day')"
"('hard', 'work')"
"('dead', 'trump')"
"('rise', 'number')"
"('american', 'trump')"
"('wear', 'protect')"
"('total', 'bring')"
"('student', 'college')"
"('webinar', 'join')"
"('march', 'since')"
"('teacher', 'school')"
"('single', 'high')"
"('care', 'age')"
"('active', 'total')"
"('positive', 'minister')"
"('across', 'country')"
"('dead', 'realdonaldtrump')"
"('odisha', 'report')"
"('first', 'russia')"
"('report', 'hour')"
"('report', 'district')"
"('spike', 'report')"
"('odisha', 'tally')"
"('india', 'record')"
"('lakh', 'tally')"
"('pm', 'august')"
"('cross', 'tally')"
"('blood', 'hospital')"
