"('united', 'state')"
"('blood', 'plasma')"
"('sars', 'cov')"
"('day', 'single')"
"('mental', 'health')"
"('coronainfoch', 'corona')"
"('ministry', 'health')"
"('india', 'lakh')"
"('plasma', 'need')"
"('type', 'plasma')"
"('type', 'component')"
"('blood', 'component')"
"('component', 'plasma')"
"('component', 'need')"
"('contact', 'trace')"
"('blood', 'type')"
"('type', 'need')"
"('blood', 'need')"
"('donald', 'trump')"
"('wave', 'second')"
"('trial', 'clinical')"
"('coronaviruspandemic', 'coronavirusupdate')"
"('distance', 'social')"
"('coronaviruspandemic', 'gmt')"
"('positive', 'component')"
"('russia', 'vaccine')"
"('confirmed', 'total')"
"('coronavirusupdate', 'gmt')"
"('biden', 'trump')"
"('india', 'single')"
"('india', 'tally')"
"('minister', 'prime')"
"('component', 'hospital')"
"('spike', 'india')"
"('slow', 'spread')"
"('confirmed', 'bring')"
"('mask', 'mandate')"
"('hospital', 'plasma')"
"('report', 'confirmed')"
"('trial', 'phase')"
"('positive', 'plasma')"
"('kong', 'hong')"
"('realdonaldtrump', 'potus')"
"('india', 'mohfw')"
"('day', 'spike')"
"('rate', 'positivity')"
"('cross', 'india')"
"('positive', 'type')"
"('department', 'health')"
"('spike', 'single')"
"('mark', 'cross')"
"('mark', 'india')"
"('play', 'role')"
"('take', 'seriously')"
"('africa', 'south')"
"('blood', 'positive')"
"('phase', 'vaccine')"
"('house', 'white')"
"('conference', 'press')"
"('covering', 'face')"
"('korea', 'south')"
"('nursing', 'home')"
"('pm', 'modi')"
"('american', 'dead')"
"('blog', 'post')"
"('admit', 'hospital')"
"('pm', 'narendramodi')"
"('chief', 'minister')"
"('type', 'hospital')"
"('prevent', 'spread')"
"('day', 'average')"
"('realdonaldtrump', 'whitehouse')"
"('vaccine', 'russian')"
"('make', 'sure')"
"('child', 'parent')"
"('report', 'tally')"
"('report', 'bring')"
"('slow', 'help')"
"('send', 'school')"
"('cross', 'lakh')"
"('positive', 'wish')"
"('fauci', 'dr')"
"('action', 'take')"
"('small', 'business')"
"('recover', 'patient')"
"('cover', 'face')"
"('wear', 'cover')"
"('next', 'week')"
"('die', 'american')"
"('open', 'school')"
"('year', 'school')"
"('day', 'every')"
"('hard', 'work')"
"('trump', 'dead')"
"('number', 'rise')"
"('trump', 'american')"
"('wear', 'protect')"
"('total', 'bring')"
"('college', 'student')"
"('webinar', 'join')"
"('since', 'march')"
"('teacher', 'school')"
"('high', 'single')"
"('care', 'age')"
"('active', 'total')"
"('positive', 'minister')"
"('country', 'across')"
"('realdonaldtrump', 'dead')"
"('report', 'odisha')"
"('russia', 'first')"
"('hour', 'report')"
"('report', 'district')"
"('report', 'spike')"
"('odisha', 'tally')"
"('india', 'record')"
"('tally', 'lakh')"
"('pm', 'august')"
"('cross', 'tally')"
"('blood', 'hospital')"
