"('united', 'state')"
"('death', 'toll')"
"('social', 'distancing')"
"('house', 'white')"
"('trump', 'donald')"
"('francisco', 'san')"
"('social', 'distance')"
"('take', 'seriously')"
"('conference', 'press')"
"('front', 'line')"
"('force', 'task')"
"('los', 'angeles')"
"('paper', 'toilet')"
"('mental', 'health')"
"('sanitizer', 'hand')"
"('test', 'negative')"
"('test', 'kit')"
"('forward', 'look')"
"('responder', 'first')"
"('supply', 'chain')"
"('cruise', 'ship')"
"('health', 'department')"
"('mortality', 'rate')"
"('take', 'precaution')"
"('store', 'grocery')"
"('place', 'shelter')"
"('kong', 'hong')"
"('disease', 'infectious')"
"('curve', 'flatten')"
"('small', 'business')"
"('francisco', 'thought')"
"('fox', 'news')"
"('term', 'long')"
"('korea', 'south')"
"('fauci', 'dr')"
"('shot', 'flu')"
"('home', 'nursing')"
"('flu', 'season')"
"('declare', 'emergency')"
"('cov', 'sars')"
"('organization', 'health')"
"('system', 'immune')"
"('organization', 'world')"
"('alert', 'global')"
"('active', 'case')"
"('san', 'thought')"
"('prevent', 'spread')"
"('make', 'decision')"
"('make', 'sense')"
"('social', 'medium')"
"('fake', 'news')"
"('question', 'answer')"
"('save', 'life')"
"('night', 'last')"
"('stock', 'market')"
"('virus', 'corona')"
"('spring', 'break')"
"('hand', 'soap')"
"('passenger', 'cruise')"
"('last', 'hour')"
"('price', 'oil')"
"('online', 'shopping')"
"('self', 'quarantine')"
"('spike', 'case')"
"('trump', 'administration')"
"('nurse', 'doctor')"
"('alert', 'news')"
"('even', 'though')"
"('reopen', 'school')"
"('else', 'anyone')"
"('president', 'trump')"
"('amid', 'outbreak')"
"('stay', 'healthy')"
"('take', 'action')"
"('record', 'death')"
"('record', 'case')"
"('year', 'ago')"
"('worker', 'healthcare')"
"('week', 'ago')"
"('passenger', 'ship')"
"('emergency', 'health')"
"('virus', 'chinese')"
"('result', 'test')"
"('staysafe', 'stayhome')"
"('total', 'death')"
"('hit', 'hard')"
"('rise', 'death')"
"('work', 'hard')"
"('official', 'health')"
"('face', 'touch')"
"('member', 'family')"
"('bring', 'total')"
"('emergency', 'state')"
"('april', 'th')"
"('business', 'support')"
"('another', 'one')"
"('death', 'rate')"
"('blame', 'trump')"
"('lose', 'job')"
"('cancel', 'due')"
"('record', 'new')"
"('school', 'high')"
"('total', 'new')"
"('year', 'last')"
"('total', 'number')"
"('county', 'case')"
"('stay', 'away')"
"('together', 'work')"
"('care', 'patient')"
"('call', 'hoax')"
"('wear', 'face')"
"('risk', 'health')"
"('week', 'two')"
"('rise', 'case')"
"('outside', 'china')"
"('friend', 'family')"
"('increase', 'case')"
"('report', 'total')"
"('normal', 'new')"
"('global', 'news')"
"('socialdistancing', 'practice')"
"('china', 'wuhan')"
"('death', 'number')"
"('close', 'store')"
"('school', 'student')"
"('week', 'next')"
"('worker', 'health')"
"('school', 'kid')"
"('high', 'rate')"
"('event', 'cancel')"
"('county', 'confirm')"
"('trump', 'america')"
"('hand', 'touch')"
"('take', 'step')"
"('disease', 'spread')"
"('school', 'child')"
"('test', 'symptom')"
"('social', 'practice')"
"('quarantine', 'cruise')"
"('th', 'case')"
"('hospital', 'patient')"
"('thing', 'one')"
"('official', 'case')"
"('local', 'business')"
"('lockdown', 'end')"
"('make', 'please')"
"('help', 'please')"
"('one', 'family')"
"('bring', 'case')"
"('test', 'patient')"
"('local', 'support')"
"('know', 'someone')"
"('help', 'make')"
"('community', 'support')"
"('care', 'worker')"
"('live', 'update')"
"('virus', 'wuhan')"
"('worker', 'essential')"
"('die', 'american')"
"('one', 'way')"
"('report', 'new')"
"('report', 'amp')"
"('trump', 'american')"
"('flu', 'know')"
"('stay', 'spread')"
"('stay', 'one')"
"('stay', 'everyone')"
"('stay', 'keep')"
"('county', 'health')"
"('outbreak', 'health')"
"('take', 'away')"
"('trump', 'hoax')"
"('community', 'help')"
"('walk', 'socialdistancing')"
"('healthy', 'safe')"
"('chinese', 'china')"
"('state', 'governor')"
