"('york', 'new')"
"('distancing', 'social')"
"('hand', 'wash')"
"('toll', 'death')"
"('state', 'united')"
"('white', 'house')"
"('distance', 'social')"
"('front', 'line')"
"('san', 'francisco')"
"('trump', 'donald')"
"('paper', 'toilet')"
"('take', 'seriously')"
"('conference', 'press')"
"('task', 'force')"
"('supply', 'chain')"
"('hand', 'sanitizer')"
"('cruise', 'ship')"
"('case', 'total')"
"('small', 'business')"
"('test', 'kit')"
"('grocery', 'store')"
"('kong', 'hong')"
"('rate', 'mortality')"
"('health', 'department')"
"('precaution', 'take')"
"('year', 'old')"
"('case', 'active')"
"('virus', 'corona')"
"('medium', 'social')"
"('market', 'stock')"
"('last', 'night')"
"('save', 'life')"
"('mask', 'face')"
"('stay', 'home')"
"('prevent', 'spread')"
"('safe', 'stay')"
"('case', 'record')"
"('make', 'sure')"
"('virus', 'chinese')"
"('death', 'total')"
"('official', 'health')"
"('worker', 'healthcare')"
"('hard', 'work')"
"('trump', 'president')"
"('case', 'county')"
"('wear', 'face')"
"('new', 'total')"
"('cancel', 'due')"
"('death', 'rate')"
"('every', 'day')"
"('number', 'total')"
"('report', 'total')"
"('safe', 'keep')"
"('trump', 'administration')"
"('number', 'death')"
"('week', 'next')"
"('health', 'worker')"
"('year', 'last')"
"('week', 'two')"
"('week', 'last')"
"('thing', 'one')"
"('hospital', 'patient')"
"('case', 'official')"
"('help', 'make')"
"('help', 'please')"
"('case', 'test')"
"('practice', 'socialdistancing')"
"('china', 'wuhan')"
"('worker', 'essential')"
"('trump', 'american')"
"('report', 'death')"
"('report', 'new')"
"('everyone', 'stay')"
