"('hand', 'wash')"
"('social', 'distancing')"
"('state', 'united')"
"('death', 'toll')"
"('white', 'house')"
"('social', 'distance')"
"('san', 'francisco')"
"('donald', 'trump')"
"('front', 'line')"
"('seriously', 'take')"
"('press', 'conference')"
"('task', 'force')"
"('toilet', 'paper')"
"('angeles', 'los')"
"('case', 'total')"
"('sanitizer', 'hand')"
"('kit', 'test')"
"('supply', 'chain')"
"('ship', 'cruise')"
"('health', 'department')"
"('small', 'business')"
"('take', 'precaution')"
"('store', 'grocery')"
"('mortality', 'rate')"
"('negative', 'test')"
"('hong', 'kong')"
"('first', 'responder')"
"('south', 'korea')"
"('infectious', 'disease')"
"('flu', 'season')"
"('mental', 'health')"
"('francisco', 'thought')"
"('place', 'shelter')"
"('news', 'fox')"
"('shot', 'flu')"
"('active', 'case')"
"('san', 'thought')"
"('social', 'medium')"
"('system', 'immune')"
"('corona', 'virus')"
"('spread', 'prevent')"
"('last', 'night')"
"('stock', 'market')"
"('save', 'life')"
"('doctor', 'nurse')"
"('amid', 'outbreak')"
"('record', 'case')"
"('trump', 'president')"
"('stay', 'healthy')"
"('anyone', 'else')"
"('quarantine', 'self')"
"('safe', 'stay')"
"('stayhome', 'staysafe')"
"('chinese', 'virus')"
"('make', 'sure')"
"('healthcare', 'worker')"
"('health', 'official')"
"('result', 'test')"
"('work', 'hard')"
"('week', 'ago')"
"('year', 'ago')"
"('death', 'total')"
"('trump', 'administration')"
"('another', 'one')"
"('face', 'wear')"
"('record', 'new')"
"('county', 'case')"
"('death', 'rate')"
"('number', 'total')"
"('due', 'cancel')"
"('every', 'day')"
"('new', 'total')"
"('number', 'death')"
"('health', 'worker')"
"('report', 'total')"
"('cancel', 'event')"
"('last', 'year')"
"('two', 'week')"
"('week', 'next')"
"('keep', 'safe')"
"('america', 'trump')"
"('china', 'wuhan')"
"('kid', 'school')"
"('china', 'outside')"
"('job', 'lose')"
"('student', 'school')"
"('spread', 'disease')"
"('last', 'week')"
"('social', 'practice')"
"('quarantine', 'cruise')"
"('thing', 'one')"
"('test', 'patient')"
"('th', 'case')"
"('patient', 'hospital')"
"('official', 'case')"
"('test', 'symptom')"
"('update', 'live')"
"('make', 'help')"
"('family', 'one')"
"('help', 'please')"
"('care', 'worker')"
"('essential', 'worker')"
"('socialdistancing', 'practice')"
"('trump', 'american')"
"('way', 'one')"
"('die', 'american')"
"('report', 'new')"
"('death', 'report')"
"('health', 'outbreak')"
"('case', 'rise')"
"('spread', 'stay')"
"('one', 'stay')"
"('stay', 'everyone')"
"('help', 'community')"
